,Age,Salary,Savings,Rate,Target,Need,Gap
0,25,25000,0,0,2609,1458,1151
1,25,25000,0,1,2716,1458,1257
2,25,25000,0,2,2822,1458,1364
3,25,25000,0,3,2929,1458,1471
4,25,25000,0,4,3036,1458,1578
5,25,25000,0,5,3143,1458,1684
6,25,25000,0,6,3249,1458,1791
7,25,25000,0,7,3321,1458,1862
8,25,25000,0,8,3392,1458,1933
9,25,25000,0,9,3463,1458,2005
10,25,25000,0,10,3534,1458,2076
11,25,25000,0,11,3605,1458,2147
12,25,25000,0,12,3676,1458,2218
13,25,25000,0,13,3747,1458,2289
14,25,25000,0,14,3819,1458,2360
15,25,25000,0,15,3890,1458,2431
16,25,25000,0,16,3961,1458,2503
17,25,25000,0,17,4032,1458,2574
18,25,25000,0,18,4103,1458,2645
19,25,25000,0,19,4174,1458,2716
20,25,25000,0,20,4246,1458,2787
21,25,25000,0,21,4317,1458,2858
22,25,25000,0,22,4388,1458,2930
23,25,25000,0,23,4459,1458,3001
24,25,25000,0,24,4530,1458,3072
25,25,25000,0,25,4601,1458,3143
26,25,25000,0,26,4673,1458,3214
27,25,25000,0,27,4744,1458,3285
28,25,25000,0,28,4815,1458,3356
29,25,25000,0,29,4886,1458,3428
30,25,25000,0,30,4957,1458,3499
31,25,25000,25000,0,3062,1458,1604
32,25,25000,25000,1,3169,1458,1711
33,25,25000,25000,2,3276,1458,1817
34,25,25000,25000,3,3383,1458,1924
35,25,25000,25000,4,3489,1458,2031
36,25,25000,25000,5,3596,1458,2138
37,25,25000,25000,6,3703,1458,2244
38,25,25000,25000,7,3774,1458,2316
39,25,25000,25000,8,3845,1458,2387
40,25,25000,25000,9,3916,1458,2458
41,25,25000,25000,10,3987,1458,2529
42,25,25000,25000,11,4059,1458,2600
43,25,25000,25000,12,4130,1458,2671
44,25,25000,25000,13,4201,1458,2742
45,25,25000,25000,14,4272,1458,2814
46,25,25000,25000,15,4343,1458,2885
47,25,25000,25000,16,4414,1458,2956
48,25,25000,25000,17,4485,1458,3027
49,25,25000,25000,18,4557,1458,3098
50,25,25000,25000,19,4628,1458,3169
51,25,25000,25000,20,4699,1458,3241
52,25,25000,25000,21,4770,1458,3312
53,25,25000,25000,22,4841,1458,3383
54,25,25000,25000,23,4912,1458,3454
55,25,25000,25000,24,4984,1458,3525
56,25,25000,25000,25,5055,1458,3596
57,25,25000,25000,26,5126,1458,3668
58,25,25000,25000,27,5197,1458,3739
59,25,25000,25000,28,5268,1458,3810
60,25,25000,25000,29,5339,1458,3881
61,25,25000,25000,30,5410,1458,3952
62,25,25000,50000,0,3516,1458,2057
63,25,25000,50000,1,3622,1458,2164
64,25,25000,50000,2,3729,1458,2271
65,25,25000,50000,3,3836,1458,2378
66,25,25000,50000,4,3943,1458,2484
67,25,25000,50000,5,4049,1458,2591
68,25,25000,50000,6,4156,1458,2698
69,25,25000,50000,7,4227,1458,2769
70,25,25000,50000,8,4298,1458,2840
71,25,25000,50000,9,4370,1458,2911
72,25,25000,50000,10,4441,1458,2982
73,25,25000,50000,11,4512,1458,3054
